Date,GoogleTrend,State
2014-01-05,73,HE
2014-01-12,55,HE
2014-01-19,68,HE
2014-01-26,54,HE
2014-02-02,67,HE
2014-02-09,57,HE
2014-02-16,72,HE
2014-02-23,58,HE
2014-03-02,64,HE
2014-03-09,59,HE
2014-03-16,72,HE
2014-03-23,54,HE
2014-03-30,66,HE
2014-04-06,55,HE
2014-04-13,74,HE
2014-04-20,58,HE
2014-04-27,76,HE
2014-05-04,71,HE
2014-05-11,60,HE
2014-05-18,77,HE
2014-05-25,59,HE
2014-06-01,76,HE
2014-06-08,56,HE
2014-06-15,74,HE
2014-06-22,58,HE
2014-06-29,80,HE
2014-07-06,63,HE
2014-07-13,77,HE
2014-07-20,63,HE
2014-07-27,74,HE
2014-08-03,71,HE
2014-08-10,74,HE
2014-08-17,74,HE
2014-08-24,64,HE
2014-08-31,72,HE
2014-09-07,63,HE
2014-09-14,71,HE
2014-09-21,56,HE
2014-09-28,68,HE
2014-10-05,66,HE
2014-10-12,60,HE
2014-10-19,65,HE
2014-10-26,66,HE
2014-11-02,76,HE
2014-11-09,72,HE
2014-11-16,65,HE
2014-11-23,83,HE
2014-11-30,92,HE
2014-12-07,78,HE
2014-12-14,100,HE
2014-12-21,79,HE
2014-12-28,76,HE
2015-01-04,77,HE
2015-01-11,66,HE
2015-01-18,61,HE
2015-01-25,76,HE
2015-02-01,74,HE
2015-02-08,66,HE
2015-02-15,73,HE
2015-02-22,63,HE
2015-03-01,72,HE
2015-03-08,63,HE
2015-03-15,76,HE
2015-03-22,60,HE
2015-03-29,79,HE
2015-04-05,65,HE
2015-04-12,76,HE
2015-04-19,66,HE
2015-04-26,77,HE
2015-05-03,77,HE
2015-05-10,64,HE
2015-05-17,76,HE
2015-05-24,61,HE
2015-05-31,81,HE
2015-06-07,68,HE
2015-06-14,78,HE
2015-06-21,70,HE
2015-06-28,84,HE
2015-07-05,68,HE
2015-07-12,86,HE
2015-07-19,68,HE
2015-07-26,81,HE
2012-12-30,68,MV
2013-01-06,75,MV
2013-01-13,61,MV
2013-01-20,62,MV
2013-01-27,52,MV
2013-02-03,57,MV
2013-02-10,59,MV
2013-02-17,61,MV
2013-02-24,62,MV
2013-03-03,56,MV
2013-03-10,69,MV
2013-03-17,64,MV
2013-03-24,67,MV
2013-03-31,56,MV
2013-04-07,69,MV
2013-04-14,54,MV
2013-04-21,61,MV
2013-04-28,58,MV
2013-05-05,50,MV
2013-05-12,65,MV
2013-05-19,50,MV
2013-05-26,73,MV
2013-06-02,56,MV
2013-06-09,62,MV
2013-06-16,70,MV
2013-06-23,66,MV
2013-06-30,59,MV
2013-07-07,64,MV
2013-07-14,66,MV
2013-07-21,58,MV
2013-07-28,75,MV
2013-08-04,65,MV
2013-08-11,72,MV
2013-08-18,69,MV
2013-08-25,70,MV
2013-09-01,60,MV
2013-09-08,63,MV
2013-09-15,56,MV
2013-09-22,67,MV
2013-09-29,45,MV
2013-10-06,69,MV
2013-10-13,67,MV
2013-10-20,61,MV
2013-10-27,66,MV
2013-11-03,72,MV
2013-11-10,69,MV
2013-11-17,74,MV
2013-11-24,75,MV
2013-12-01,83,MV
2013-12-08,100,MV
2013-12-15,99,MV
2013-12-22,58,MV
2013-12-29,62,MV
2014-01-05,66,MV
2014-01-12,53,MV
2014-01-19,64,MV
2014-01-26,51,MV
2014-02-02,65,MV
2014-02-09,52,MV
2014-02-16,63,MV
2014-02-23,38,MV
2014-03-02,63,MV
2014-03-09,50,MV
2014-03-16,68,MV
2014-03-23,60,MV
2014-03-30,75,MV
2014-04-06,55,MV
2014-04-13,68,MV
2014-04-20,57,MV
2014-04-27,74,MV
2014-05-04,73,MV
2014-05-11,52,MV
2014-05-18,78,MV
2014-05-25,47,MV
2014-06-01,64,MV
2014-06-08,55,MV
2014-06-15,80,MV
2014-06-22,54,MV
2014-06-29,67,MV
2014-07-06,60,MV
2014-07-13,74,MV
2014-07-20,61,MV
2014-07-27,82,MV
2014-08-03,66,MV
2014-08-10,70,MV
2014-08-17,79,MV
2014-08-24,58,MV
2014-08-31,74,MV
2014-09-07,69,MV
2014-09-14,71,MV
2014-09-21,49,MV
2014-09-28,67,MV
2014-10-05,67,MV
2014-10-12,58,MV
2014-10-19,74,MV
2014-10-26,74,MV
2014-11-02,66,MV
2014-11-09,75,MV
2014-11-16,61,MV
2014-11-23,85,MV
2014-11-30,94,MV
2014-12-07,90,MV
2014-12-14,94,MV
2014-12-21,71,MV
2014-12-28,64,MV
2015-01-04,69,MV
2015-01-11,60,MV
2015-01-18,63,MV
2015-01-25,71,MV
2015-02-01,62,MV
2015-02-08,63,MV
2015-02-15,67,MV
2015-02-22,57,MV
2015-03-01,62,MV
2015-03-08,68,MV
2015-03-15,60,MV
2015-03-22,58,MV
2015-03-29,71,MV
2015-04-05,57,MV
2015-04-12,67,MV
2015-04-19,62,MV
2015-04-26,72,MV
2015-05-03,65,MV
2015-05-10,50,MV
2015-05-17,60,MV
2015-05-24,61,MV
2015-05-31,65,MV
2015-06-07,46,MV
2015-06-14,60,MV
2015-06-21,67,MV
2015-06-28,66,MV
2015-07-05,65,MV
2015-07-12,75,MV
2015-07-19,57,MV
2015-07-26,86,MV
2012-12-30,50,NI
2013-01-06,53,NI
2013-01-13,42,NI
2013-01-20,47,NI
2013-01-27,41,NI
2013-02-03,48,NI
2013-02-10,46,NI
2013-02-17,55,NI
2013-02-24,46,NI
2013-03-03,55,NI
2013-03-10,56,NI
2013-03-17,64,NI
2013-03-24,63,NI
2013-03-31,56,NI
2013-04-07,60,NI
2013-04-14,48,NI
2013-04-21,61,NI
2013-04-28,51,NI
2013-05-05,53,NI
2013-05-12,62,NI
2013-05-19,51,NI
2013-05-26,65,NI
2013-06-02,53,NI
2013-06-09,57,NI
2013-06-16,67,NI
2013-06-23,63,NI
2013-06-30,53,NI
2013-07-07,47,NI
2013-07-14,57,NI
2013-07-21,51,NI
2013-07-28,58,NI
2013-08-04,48,NI
2013-08-11,55,NI
2013-08-18,50,NI
2013-08-25,55,NI
2013-09-01,46,NI
2013-09-08,52,NI
2013-09-15,43,NI
2013-09-22,52,NI
2013-09-29,43,NI
2013-10-06,50,NI
2013-10-13,44,NI
2013-10-20,53,NI
2013-10-27,45,NI
2013-11-03,54,NI
2013-11-10,47,NI
2013-11-17,55,NI
2013-11-24,54,NI
2013-12-01,61,NI
2013-12-08,72,NI
2013-12-15,88,NI
2013-12-22,54,NI
2013-12-29,56,NI
2014-01-05,60,NI
2014-01-12,48,NI
2014-01-19,61,NI
2014-01-26,49,NI
2014-02-02,57,NI
2014-02-09,46,NI
2014-02-16,63,NI
2014-02-23,48,NI
2014-03-02,58,NI
2014-03-09,47,NI
2014-03-16,61,NI
2014-03-23,52,NI
2014-03-30,59,NI
2014-04-06,55,NI
2014-04-13,61,NI
2014-04-20,52,NI
2014-04-27,63,NI
2014-05-04,66,NI
2014-05-11,56,NI
2014-05-18,60,NI
2014-05-25,52,NI
2014-06-01,59,NI
2014-06-08,52,NI
2014-06-15,64,NI
2014-06-22,59,NI
2014-06-29,70,NI
2014-07-06,57,NI
